,Normal,eyes-confused,ears-early-bird,back-crystal-hermit : aquatic-back-02,mouth-serious : plant-mouth-02,horn-unko : reptile-horn-02,tail-koi : aquatic-tail-02,,16.8725,19.85,29.775
,Normal,eyes-confused,ears-pogona,back-starry-shell : bug-back-02,mouth-catfish : aquatic-mouth-04,horn-bamboo-shoot : plant-horn-02,tail-tiny-dino : reptile-tail-06,,16.8725,19.85,29.775
,Normal,eyes-tricky,ears-bubblemaker,back-buzz-buzz : bug-back-06,mouth-pincer : bug-mouth-04,horn-cuckoo : bird-horn-04,tail-feather-fan : bird-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-papi,ears-heart-cheek,back-garish-worm : bug-back-04,mouth-peace-maker : bird-mouth-04,horn-antenna : bug-horn-04,tail-namek-carrot : plant-tail-02,,42.4915,49.99,74.985
,Normal,eyes-papi,ears-bubblemaker,back-blue-moon : aquatic-back-04,mouth-nut-cracker : beast-mouth-02,horn-imp : beast-horn-04,tail-koi : aquatic-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-insomnia,ears-red-nimo,back-ronin : beast-back-02,mouth-serious : plant-mouth-02,horn-imp : beast-horn-04,tail-ant : bug-tail-02,,42.4915,49.99,74.985
,Normal,eyes-mavis,ears-pink-cheek,back-snail-shell : bug-back-02,mouth-peace-maker : bird-mouth-04,horn-scaly-spear : reptile-horn-04,tail-iguana : reptile-tail-04,,1.4867,1.749,2.6235
,Normal,eyes-sleepless,ears-ear-breathing,back-jaguar : beast-back-06,mouth-nut-cracker : beast-mouth-02,horn-little-branch : beast-horn-02,tail-ant : bug-tail-02,,1.4867,1.749,2.6235
,Fuzzy,eyes-bookworm,ears-bubblemaker,back-goldfish : aquatic-back-06,mouth-lam : aquatic-mouth-02,horn-unko : reptile-horn-02,tail-shiba : beast-tail-06,,1.4867,1.749,2.6235
,Normal,eyes-sleepless,ears-nyan,back-ronin : beast-back-02,mouth-serious : plant-mouth-02,horn-antenna : bug-horn-04,tail-cottontail : beast-tail-02,,1.4867,1.749,2.6235
,Normal,eyes-tricky,ears-curved-spine,back-garish-worm : bug-back-04,mouth-mosquito : bug-mouth-02,horn-little-branch : beast-horn-02,tail-cottontail : beast-tail-02,,1.4867,1.749,2.6235
